species_a	species_b	fm_type	fm_C	fm_benefit_a	fm_benefit_b	fm_xfeed	smetana_MIP	smetana_MRO	sec
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000333	competition	0.1001	-0.417345	-0.417345	3	5	0.8656716417910447	1.1
L_paracasei_ATCC334_GCF_000014525.1	MGYG000002279	competition	0.0317	-0.388373	-0.388372	9	13	0.5714285714285714	2.2
L_paracasei_ATCC334_GCF_000014525.1	MGYG000004019	competition	0.0339	-0.398713	-0.398715	7	8	0.7547169811320755	1.6
L_rhamnosus_GG_GCF_000026505.1	MGYG000004418	competition	0.0561	-0.093059	-0.093112	3	9	0.7605633802816901	0.9
L_crispatus_M247_GCF_026740115.1	MGYG000000616	mutualism	0.0284	0.524583	0.524561	6	12	0.6885245901639344	1.2
L_acidophilus_NCFM_GCF_000011985.1	MGYG000003188	mutualism	0.0276	0.011916	0.011913	10	14	0.6896551724137931	2.1
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	MGYG000001366	mutualism	0.0246	0.074227	0.074248	9	12	0.6666666666666666	1.4
L_crispatus_ST1_GCF_000091765.1	MGYG000001283	competition	0.2538	-0.347688	-0.347695	3	5	0.8732394366197183	1.1
L_crispatus_M247_GCF_026740115.1	MGYG000003150	mutualism	0.0273	0.460594	0.460586	7	7	0.7777777777777778	1.2
L_plantarum_WCFS1_GCF_000203855.3	MGYG000003801	competition	0.0634	-0.144780	-0.144779	5	11	0.8	1.2
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000148	competition	0.0616	-0.259991	-0.259981	6	11	0.6896551724137931	2.1
L_paracasei_ATCC334_GCF_000014525.1	MGYG000002565	competition	0.0582	-0.065406	-0.065441	6	10	0.711864406779661	1.4
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	MGYG000001536	competition	0.0285	-0.115630	-0.115598	6	21	0.48	2.5
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000003727	mutualism	0.0185	0.365368	0.365348	7	6	0.8493150684931506	1.1
L_rhamnosus_GG_GCF_000026505.1	MGYG000001007	competition	0.1776	-0.299450	-0.299449	7	15	0.6538461538461539	1.6
L_casei_ATCC393_GCF_000829055.1	MGYG000002321	competition	0.0894	-0.288336	-0.288340	4	8	0.7142857142857143	2.1
L_reuteri_DSM20016_GCF_000016825.1	MGYG000004292	mutualism	0.0251	0.558177	0.558168	4	6	0.75	1.3
