model_id	fastmic_growth	cobra_growth	abs_diff	rel_diff_pct
MGYG000000568__gradient_L2_fos_gapseq	0.31371900	0.31371900	0.00e+00	0.0000
MGYG000000568__gradient_L3_gos_gapseq	0.39814600	0.39814600	0.00e+00	0.0000
MGYG000000568__gradient_L4_xos_gapseq	0.39814600	0.39814600	0.00e+00	0.0000
MGYG000000568__gradient_L5_pectin_gapseq	0.39814600	0.39814600	0.00e+00	0.0000
MGYG000000568__gradient_L6_resistant_starch_gapseq	0.57867600	0.57867600	0.00e+00	0.0000
MGYG000000568__gradient_L7_bglucan_gapseq	0.57867600	0.57867600	0.00e+00	0.0000
MGYG000000568__gradient_L8_hmo_gapseq	0.57867600	0.57867600	0.00e+00	0.0000
MGYG000000568__gradient_L9_mos_gapseq	0.64792100	0.64792100	0.00e+00	0.0000
MGYG000000573__gradient_L0_base_gapseq	0.47551600	0.47551600	0.00e+00	0.0000
MGYG000000573__gradient_L1_inulin_gapseq	0.65257100	0.65257100	0.00e+00	0.0000
MGYG000000573__gradient_L2_fos_gapseq	0.65257100	0.65257100	0.00e+00	0.0000
MGYG000000573__gradient_L3_gos_gapseq	0.78832600	0.78832600	0.00e+00	0.0000
MGYG000000573__gradient_L4_xos_gapseq	0.78832600	0.78832600	0.00e+00	0.0000
MGYG000000573__gradient_L5_pectin_gapseq	0.78832600	0.78832600	0.00e+00	0.0000
MGYG000000573__gradient_L6_resistant_starch_gapseq	1.10352100	1.10352100	0.00e+00	0.0000
MGYG000000573__gradient_L7_bglucan_gapseq	1.14416700	1.14416700	0.00e+00	0.0000
MGYG000000573__gradient_L8_hmo_gapseq	1.14416700	1.14416700	0.00e+00	0.0000
MGYG000000573__gradient_L9_mos_gapseq	1.14416700	1.14416700	0.00e+00	0.0000
MGYG000000576__gradient_L0_base_gapseq	0.52590500	0.52590500	0.00e+00	0.0000
MGYG000000576__gradient_L1_inulin_gapseq	0.68367900	0.68367900	0.00e+00	0.0000
MGYG000000576__gradient_L2_fos_gapseq	0.68367900	0.68367900	0.00e+00	0.0000
MGYG000000576__gradient_L3_gos_gapseq	0.80135600	0.80135600	0.00e+00	0.0000
MGYG000000576__gradient_L4_xos_gapseq	0.80135600	0.80135600	0.00e+00	0.0000
MGYG000000576__gradient_L5_pectin_gapseq	0.80135600	0.80135600	0.00e+00	0.0000
MGYG000000576__gradient_L6_resistant_starch_gapseq	1.12247700	1.12247700	0.00e+00	0.0000
MGYG000000576__gradient_L7_bglucan_gapseq	1.12247700	1.12247700	0.00e+00	0.0000
MGYG000000576__gradient_L8_hmo_gapseq	1.12247700	1.12247700	0.00e+00	0.0000
MGYG000000576__gradient_L9_mos_gapseq	1.19884700	1.19884700	0.00e+00	0.0000
MGYG000000585__gradient_L0_base_gapseq	0.22535700	0.22536700	1.00e-05	0.0044
MGYG000000585__gradient_L1_inulin_gapseq	0.32754200	0.32754700	5.00e-06	0.0015
MGYG000000585__gradient_L2_fos_gapseq	0.32754200	0.32754700	5.00e-06	0.0015
MGYG000000585__gradient_L3_gos_gapseq	0.32754200	0.32754700	5.00e-06	0.0015
MGYG000000585__gradient_L4_xos_gapseq	0.32754200	0.32754700	5.00e-06	0.0015
MGYG000000585__gradient_L5_pectin_gapseq	0.32754200	0.32754700	5.00e-06	0.0015
MGYG000000585__gradient_L6_resistant_starch_gapseq	0.38792000	0.38793000	1.00e-05	0.0026
MGYG000000585__gradient_L7_bglucan_gapseq	0.38792000	0.38793000	1.00e-05	0.0026
MGYG000000585__gradient_L8_hmo_gapseq	0.38792000	0.38793000	1.00e-05	0.0026
MGYG000000585__gradient_L9_mos_gapseq	0.38792000	0.38793000	1.00e-05	0.0026
MGYG000000588__gradient_L0_base_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000588__gradient_L1_inulin_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000588__gradient_L2_fos_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000588__gradient_L3_gos_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000588__gradient_L4_xos_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000588__gradient_L5_pectin_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000588__gradient_L6_resistant_starch_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000588__gradient_L7_bglucan_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000588__gradient_L8_hmo_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000588__gradient_L9_mos_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000591__gradient_L0_base_gapseq	0.42442600	0.42442600	0.00e+00	0.0000
MGYG000000591__gradient_L1_inulin_gapseq	0.58500600	0.58500600	0.00e+00	0.0000
MGYG000000591__gradient_L2_fos_gapseq	0.58500600	0.58500600	0.00e+00	0.0000
MGYG000000591__gradient_L3_gos_gapseq	0.58500600	0.58500600	0.00e+00	0.0000
MGYG000000591__gradient_L4_xos_gapseq	0.58500600	0.58500600	0.00e+00	0.0000
MGYG000000591__gradient_L5_pectin_gapseq	0.58500600	0.58500600	0.00e+00	0.0000
MGYG000000591__gradient_L6_resistant_starch_gapseq	0.58500600	0.58500600	0.00e+00	0.0000
MGYG000000591__gradient_L7_bglucan_gapseq	0.58500600	0.58500600	0.00e+00	0.0000
MGYG000000591__gradient_L8_hmo_gapseq	0.58500600	0.58500600	0.00e+00	0.0000
MGYG000000591__gradient_L9_mos_gapseq	0.58500600	0.58500600	0.00e+00	0.0000
MGYG000000602__gradient_L0_base_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000602__gradient_L1_inulin_gapseq	0.23255400	0.23255400	0.00e+00	0.0000
MGYG000000602__gradient_L2_fos_gapseq	0.23255400	0.23255400	0.00e+00	0.0000
MGYG000000602__gradient_L3_gos_gapseq	0.23255400	0.23255400	0.00e+00	0.0000
MGYG000000602__gradient_L4_xos_gapseq	0.27476800	0.27476800	0.00e+00	0.0000
MGYG000000602__gradient_L5_pectin_gapseq	0.30630000	0.30630000	0.00e+00	0.0000
MGYG000000602__gradient_L6_resistant_starch_gapseq	0.32431800	0.32431800	0.00e+00	0.0000
MGYG000000602__gradient_L7_bglucan_gapseq	0.32431800	0.32431800	0.00e+00	0.0000
MGYG000000602__gradient_L8_hmo_gapseq	0.32431800	0.32431800	0.00e+00	0.0000
MGYG000000602__gradient_L9_mos_gapseq	0.32431800	0.32431800	0.00e+00	0.0000
MGYG000000603__gradient_L0_base_gapseq	0.32399100	0.32399100	0.00e+00	0.0000
MGYG000000603__gradient_L1_inulin_gapseq	0.32399100	0.32399100	0.00e+00	0.0000
MGYG000000603__gradient_L2_fos_gapseq	0.32399100	0.32399100	0.00e+00	0.0000
MGYG000000603__gradient_L3_gos_gapseq	0.32399100	0.32399100	0.00e+00	0.0000
MGYG000000603__gradient_L4_xos_gapseq	0.32399100	0.32399100	0.00e+00	0.0000
MGYG000000603__gradient_L5_pectin_gapseq	0.32399100	0.32399100	0.00e+00	0.0000
MGYG000000603__gradient_L6_resistant_starch_gapseq	0.32399100	0.32399100	0.00e+00	0.0000
MGYG000000603__gradient_L7_bglucan_gapseq	0.32399100	0.32399100	0.00e+00	0.0000
MGYG000000603__gradient_L8_hmo_gapseq	0.32399100	0.32399100	0.00e+00	0.0000
MGYG000000603__gradient_L9_mos_gapseq	0.32399100	0.32399100	0.00e+00	0.0000
MGYG000000615__gradient_L0_base_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000615__gradient_L1_inulin_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000615__gradient_L2_fos_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000615__gradient_L3_gos_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000615__gradient_L4_xos_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000615__gradient_L5_pectin_gapseq	-0.00000000	0.00000000	0.00e+00	NA
MGYG000000615__gradient_L6_resistant_starch_gapseq	-0.00000000	0.00000000	0.00e+00	NA
